iter	Passed	Remaining
581	2641	989
582	2645	984
583	2649	979
584	2653	975
585	2656	970
586	2659	964
587	2663	960
588	2667	955
589	2670	950
590	2675	946
591	2679	941
592	2683	936
593	2688	932
594	2691	927
595	2695	922
596	2700	918
597	2705	913
598	2711	909
599	2719	906
600	2724	902
601	2728	897
602	2732	892
603	2737	888
604	2740	883
605	2744	878
606	2748	874
607	2753	869
608	2756	864
609	2759	859
610	2763	854
611	2767	850
612	2770	845
613	2775	840
614	2778	835
615	2782	831
616	2786	826
617	2789	821
618	2792	816
619	2796	811
620	2800	807
621	2804	802
622	2808	798
623	2811	793
624	2815	788
625	2820	784
626	2825	779
627	2829	774
628	2833	770
629	2838	766
630	2844	761
631	2848	757
632	2852	752
633	2855	747
634	2858	742
635	2862	738
636	2865	733
637	2869	728
638	2876	724
639	2880	720
640	2885	715
641	2888	710
642	2892	706
643	2896	701
644	2900	696
645	2903	692
646	2907	687
647	2911	682
648	2915	678
649	2919	673
650	2922	668
651	2927	664
652	2931	659
653	2935	655
654	2938	650
655	2943	646
656	2947	641
657	2952	637
658	2955	632
659	2958	627
660	2963	623
661	2967	618
662	2972	614
663	2976	609
664	2980	605
665	2984	600
666	2989	596
667	2993	591
668	2997	586
669	3002	582
670	3007	578
671	3010	573
672	3014	568
673	3018	564
674	3022	559
675	3026	555
676	3029	550
677	3033	545
678	3037	541
679	3041	536
680	3045	532
681	3049	527
682	3054	523
683	3057	518
684	3061	513
685	3065	509
686	3069	504
687	3073	500
688	3077	495
689	3080	491
690	3085	486
691	3089	482
692	3093	477
693	3097	473
694	3101	468
695	3105	464
696	3109	459
697	3113	455
698	3118	450
699	3121	445
700	3125	441
701	3129	436
702	3133	432
703	3137	427
704	3142	423
705	3146	418
706	3150	414
707	3155	410
708	3159	405
709	3163	400
710	3166	396
711	3171	392
712	3177	387
713	3182	383
714	3185	378
715	3189	374
716	3193	369
717	3197	365
718	3201	360
719	3205	356
720	3208	351
721	3212	347
722	3217	342
723	3220	338
724	3224	333
725	3228	329
726	3233	324
727	3236	320
728	3240	315
729	3242	310
730	3246	306
731	3249	301
732	3253	297
733	3258	292
734	3262	288
735	3266	284
736	3271	279
737	3275	275
738	3279	270
739	3283	266
740	3286	261
741	3290	257
742	3294	252
743	3298	248
744	3303	243
745	3308	239
746	3312	234
747	3316	230
748	3321	226
749	3325	221
750	3329	217
751	3333	212
752	3337	208
753	3341	203
754	3345	199
755	3350	194
756	3355	190
757	3358	186
758	3362	181
759	3366	177
760	3370	172
761	3374	168
762	3377	163
763	3381	159
764	3385	154
765	3389	150
766	3395	146
767	3399	141
768	3403	137
769	3407	132
770	3410	128
771	3415	123
772	3420	119
773	3424	115
774	3428	110
775	3432	106
776	3436	101
777	3440	97
778	3444	92
779	3448	88
780	3452	83
781	3455	79
782	3460	75
783	3465	70
784	3468	66
785	3473	61
786	3478	57
787	3484	53
788	3487	48
789	3491	44
790	3495	39
791	3507	35
792	3516	31
793	3523	26
794	3527	22
795	3532	17
796	3536	13
797	3539	8
798	3542	4
799	3545	0
